Арсеніїн,1:poss&conc:hum,
Арсентіїв,1:poss&conc:hum,
артасівський,1:abst&conc:loc,
артелярщинський,1:abst&conc:loc,
артеменківський,1:abst&conc:loc,
Артемів,1:poss&conc:hum,
артемівський,1:abst&conc:loc,
Артемідин,1:poss&conc:hum,
Артеміїв,1:poss&conc:hum,
Артеміїн,1:poss&conc:hum,
Артемонів,1:poss&conc:hum,
артемо-растівський,1:abst&conc:loc,
артинський,1:abst&conc:loc,
Артурів,1:poss&conc:hum,
артюхівський,1:abst&conc:loc,
арубський,1:abst,
арумунський,1:abst,
архангелівський,1:abst&conc:loc,
архангельський,1:abst,
архемівський,1:abst&conc:loc,
Архипів,1:poss&conc:hum,
архипівський,1:abst&conc:loc,
архімедів,1:abst&conc:hum,
архінімецький,1:abst,
арцизький,1:abst&conc:loc,
аршичинський,1:abst&conc:loc,
аршуківський,1:abst&conc:loc,
асадівський,1:abst&conc:hum,
асеанівський,1:abst,
Асин,1:poss&conc:hum,
асіївський,1:abst&conc:loc,
Аскольдів,1:poss&conc:hum,
Аспасіїн,1:poss&conc:hum,
ассамський,1:abst,
ассирійський,1:abst,
астанинський,1:abst,
Астартин,1:poss&conc:hum,
астахівський,1:abst&conc:loc,
астейський,1:abst&conc:loc,
астраханський,1:abst&conc:loc,
астурійський,1:abst,
астурський,1:abst:lang,
атабаський,1:abst,
атаківський,1:abst&conc:loc,
Атанасів,1:poss&conc:hum,
Атанасіїв,1:poss&conc:hum,
атапаський,1:abst,
атацький,1:abst&conc:loc,
атенський,1:abst,
атинський,1:abst&conc:loc,
атлантик-сітинський,1:abst,
Атлаські,1:abst&conc:loc,
атманайський,1:abst&conc:loc,
атюшівський,1:abst&conc:loc,
Афанасіїв,1:poss&conc:hum,
афанасіївський,1:abst&conc:loc,
Афанасіїн,1:poss&conc:hum,
афарський,1:abst:lang,
афгано-пакистанський,1:abst,
афганський,1:abst,
Афіногенів,1:poss&conc:hum,
афінський,1:abst,
Афонів,1:poss&conc:hum,
Афоніїв,1:poss&conc:hum,
афразійський,1:abst,
африкаанський,1:abst,
Африканів,1:poss&conc:hum,
африканський,1:abst,
афро-азіатський,1:abst,
афро-азійський,1:abst,
афроамериканський,1:abst,
афро-американський,1:abst,
афробразильський,1:abst,
Афродітин,1:poss&conc:hum,
афроцентричний,1:abst,
ахейський,1:abst,
ахіллесів,1:abst&conc:hum,
ахіллів,1:abst&conc:hum,
Ахілліїв,1:poss&conc:hum,
ахматівський,1:abst&conc:hum,
ахматовський,1:abst&conc:hum,
Ахмедів,1:poss&conc:hum,
Ахметів,1:poss&conc:hum,
ахметівський,1:abst&conc:hum,
ахметовський,1:abst&conc:hum,
ацтекський,1:abst,
ацтецький,1:abst,
ачинський,1:abst,
ашгабадський,1:abst,
ашгабатський,1:abst,
ашельський,1:abst,
ашузький,1:abst,
ашхабадський,1:abst,
баасистський,1:abst&conc:hum,
бабайківський,1:abst&conc:loc,
бабаївський,1:abst&conc:loc,
бабаківський,1:abst&conc:loc,
бабариківський,1:abst&conc:loc,
бабахо-тарамівський,1:abst&conc:loc,
бабацівський,1:abst&conc:loc,
Баб-ель-Мандебська,1:abst&conc:loc,
бабенківський,1:abst&conc:loc,
бабинецький,1:abst&conc:loc,
бабиницький,1:abst&conc:loc,
бабинівський,1:abst&conc:loc,
бабинопільський,1:abst,
бабинський,1:abst&conc:loc,
бабичівський,1:abst&conc:loc,
бабухівський,1:abst&conc:loc,
бабушківський,1:abst&conc:loc,
бабушкінський,1:abst&conc:loc,
бабченський,1:abst&conc:loc,
бабчинецький,1:abst&conc:loc,
бабшинський,1:abst&conc:loc,
баб'янський,1:abst&conc:loc,
баварський,1:abst,
Бавдолінів,1:poss&conc:hum,
баворівський,1:abst&conc:loc,
багамський,1:abst,
багатівський,1:abst&conc:loc,
багатківський,1:abst&conc:loc,
багаточернещинський,1:abst&conc:loc,
багатський,1:abst&conc:loc,
багатянський,1:abst&conc:loc,
багацький,1:abst&conc:loc,
багачанський,1:abst&conc:loc,
багачівський,1:abst&conc:loc,
багвянський,1:abst&conc:loc,
багдадський,1:abst,
баглайківський,1:abst&conc:loc,
баглаївський,1:abst&conc:loc,
баглійський,1:abst&conc:loc,
багнівський,1:abst&conc:loc,
багнянський,1:abst&conc:loc,
баговицький,1:abst&conc:loc,
багринівський,1:abst&conc:loc,
Багринова,1:abst&conc:loc,
багриновецький,1:abst&conc:loc,
багринський,1:abst&conc:loc,
багрянівський,1:abst&conc:hum,
бадалівський,1:abst&conc:loc,
баденський,1:abst,
бадьорівський,1:abst&conc:loc,
Баєсів,1:poss&conc:hum,
баєсівський,1:abst&conc:hum,
бажанівський,1:abst&conc:loc,
базавлуцький,1:abst&conc:loc,
базалійський,1:abst&conc:loc,
базаліївський,1:abst&conc:loc,
базальтівський,1:abst&conc:loc,
базаринський,1:abst&conc:loc,
базарівський,1:abst&conc:loc,
базарський,1:abst&conc:loc,
базар'янський,1:abst&conc:loc,
базедів,1:abst&conc:hum,
базелівщинський,1:abst&conc:loc,
базельський,1:abst,
базилівщинський,1:abst&conc:loc,
байбузівський,1:abst&conc:loc,
байдаківський,1:abst&conc:loc,
байдарський,1:abst,
Байдарські,1:abst&conc:loc,
байдівський,1:abst&conc:loc,
байкальський,1:abst,
байківський,1:abst&conc:loc,
байковецький,1:abst&conc:loc,
байконурський,1:abst,
баймаківський,1:abst&conc:loc,
байраківський,1:abst&conc:loc,
байрацький,1:abst&conc:loc,
байройтський,1:abst,
байтальський,1:abst&conc:loc,
баївський,1:abst&conc:loc,
бакаївський,1:abst&conc:loc,
