аби-як adv:&pron:ind
плянований /adj
пляновий /adj
пляновість /n30
пляново adv
пляномірний /adj
пляномірно adv
плянування /n2n
плянувати /v1.cf.advp.is0 :imperf
плянуватися /vr1.cf.advp :imperf
плястиковий /adj
плятформа /n10.p1
пляц /n20.p
пляцдарм /n20.p
подіюм /n20.p
по-европейському adv
поки-що adv:&pron:int:rel
Політбюро /n2n
поратунок /n22
постсовєтизм /n20
постсовєтський /adj
постсовєцький /adj
постулят /n20.p
потенціял /n20.p
потенціяльний /adj
премієр /n20.a.p.ke.<
преміюм-підтримка /n10
претенсія /n10.p1
проблєма /n10.p1
продеклямувати /v1.is0 :perf
проевропейський /adj
проклямація /n10.p1
пролєтаріят /n20
пропаґанда /n10
пропаґандивно adv
протибольшевицький /adj
псевдо /n2n.p1
псевдотріюмфальний /adj
психольоґія /n10.p1
Пурім /n20
равнд /n20.p
радіодіджей /n20.a.p.<
радіюс /n20.a.p
радіяльний /adj.adv
радіяльність /n30
радіяційний /adj
радіяція /n10
ранґа /n10
ратунок /n22
реаґувати /v1.cf.advp :imperf
реглямент /n20
реґіон /n20.p
реґіональний /adj
рейтинґ /n20.p
рейтинґовий /adj
рекляма /n10
реклямація /n10.p1
реклямний /adj
реклямувати /v1.cf.advp :imperf
рентґен /n20.a :xp1                 # одиниця виміру; апарат
рентґен /n20 :xp2                   # проміння; просвічування
рентґенівський /adj
рентґентехнік /n20.a.p.<
репатріяція /n10.p1
ресовєтизація /n10
решпект /n20
ріжний /adj
ріжниця /n10.p1
рококо /n2n
роля /n10
ротмістер /n22.a.p.ke
салата /n10
салітра /n10
салітровий /adj
сеґмент /n20.a.p
силюет /n20.p
симпозіюм /n20.p
скавт /n20.a.p.ke.<
скавтський /adj
скарлятина /n10
совєти /np2
сов'єти /np2
совєтизація /n10
совєтизм /n20.p
сов'єтизм /n20.p
совєтизований /adj :&adjp:pasv:perf
совєтолог /n20.a.p.<
совєтологія /n10
совєтофілія /n10
совєтський /adj
совєтськість /n30
совєцький /adj
совєцькість /n30
совіти /np2
совітський /adj
совіцький /adj
соняшний /adj
соняшно adv
сопрано /n2n.p1
соціюм /n20.p
соціялістичний /adj
соціяльний /adj.adv
спеціялізація /n10
спеціялізуватися /vr1.cf.advp :imperf
спеціяльний /adj.adv
сплянований /adj
спонзор /n20.a.p.ke.<
спонзорування /n2n
спонзорувати /v1.cf.advp.is0 :imperf:perf
старшоклясник /n20.a.p.<
струмент /n20.a.p
східноевропеєць /n22.a.p.<
східноевропейський /adj
таймінґ /n20
телетріюмф /n20.p
телетріюмфний /adj
територіяльний /adj
термінольоґія /n10.p1
Торонто /n2n :geo
трансґендерний /adj
тривіяльний /adj
тріюмвірат /n20
тріюмф /n20.p
тріюмфальний /adj.adv
тріюмфальність /n30
тріюмфатор /n20.a.p.ke.<
тріюмфаторка /n10.p2.<
тріюмфаторський /adj
тріюмфування /n2n.p1
тріюмфувати /v1.cf.advp :imperf
уніят /n20.a.p.ke.<
уніятський /adj
фавстівський /adj
фалш /n20
фалшивий /adj.adv
фалшування /n2n
фармер /n20.a.p.ke.<
февдалізм /n20
февдальний /adj
філядельфійський /adj
фіялка /n10.p2
фльор /n20.ke
фльота /n10
фльотилія /n10.p1
флякон /n20.a.p
фолкльорист /n20.a.p.<
фолкльорний /adj
фортепіано /n2n.p1
фортепіяно /n2n.p1
фортепіяновий /adj
фортеп'яно /n2n.p1
фото /n2n.p1
фраґмент /n20.a.p
центральноевропейський /adj
циліндер /n22.a.ke
цирюльник /n20.a.p.<
цмин /n20
цукорка /n10.p2
цьотка /n10.p2.<
чоколяда /n10
чоколядовий /adj
швайцар /n20.a.p.ke.<
швайцарець /n22.a.p.<
швайцарський /adj
шляґер /n20.p.ke
шоколяд /n20
шоколяда /n10
що-ж conj:subord
юґендстиль /n20
якже adv
якжеж adv
