# Іменники
# !noun

# з тегами

Ігоре Ігор noun:anim:m:v_kly:prop:fname:bad
гони гони noun:inanim:p:v_naz:ns:xp2        # міра довжини
гін гони noun:inanim:p:v_rod:ns:xp2
гонам гони noun:inanim:p:v_dav:ns:xp2
гони гони noun:inanim:p:v_zna:ns:xp2
гонами гони noun:inanim:p:v_oru:ns:xp2
гонах гони noun:inanim:p:v_mis:ns:xp2
гони гони noun:inanim:p:v_kly:ns:xp2


брат-і-сестра брат-і-сестра noun:f:v_naz
брата-і-сестри брат-і-сестра noun:f:v_rod
брату-і-сестрі брат-і-сестра noun:f:v_dav
братові-і-сестрі брат-і-сестра noun:f:v_dav/v_mis
брата-і-сестру брат-і-сестра noun:f:v_zna
братом-і-сестрою брат-і-сестра noun:f:v_oru
браті-і-сестрі брат-і-сестра noun:f:v_mis
брате-і-сестро брат-і-сестра noun:f:v_kly

# bad

гребня гребінь noun:inanim:m:v_rod:bad
гребневі гребінь noun:inanim:m:v_dav:bad
гребню гребінь noun:inanim:m:v_dav:bad
гребнем гребінь noun:inanim:m:v_oru:bad
гребневі гребінь noun:inanim:m:v_mis:bad


ясла-садок ясла-садок noun:inanim:p:v_naz:ns
ясел-садка ясла-садок noun:inanim:p:v_rod:ns
яслам-садку ясла-садок noun:inanim:p:v_dav:ns
ясла-садок ясла-садок noun:inanim:p:v_zna:ns
яслами-садком ясла-садок noun:inanim:p:v_oru:ns
яслах-садку ясла-садок noun:inanim:p:v_mis:ns
ясла-садок ясла-садок noun:inanim:p:v_kly:ns

ясла-садочок ясла-садочок noun:inanim:p:v_naz:ns
ясел-садочка ясла-садочок noun:inanim:p:v_rod:ns
яслам-садочку ясла-садочок noun:inanim:p:v_dav:ns
ясла-садочок ясла-садочок noun:inanim:p:v_zna:ns
яслами-садочком ясла-садочок noun:inanim:p:v_oru:ns
яслах-садочку ясла-садочок noun:inanim:p:v_mis:ns
ясла-садочок ясла-садочок noun:inanim:p:v_kly:ns




# додаткові форми

крови кров noun:inanim:f:v_rod:ua_2019
любови любов noun:inanim:f:v_rod:ua_2019
осени осінь noun:inanim:f:v_rod:ua_2019
соли сіль noun:inanim:f:v_rod:ua_2019
Білоруси Білорусь noun:inanim:f:v_rod:prop:geo:ua_2019
Руси Русь noun:f:v_rod:prop:geo:ua_2019

піхв піхва noun:inanim:p:v_rod
подруж подружжя noun:inanim:p:v_rod

смерти смерть noun:inanim:f:v_rod:rare


болиш боліти verb:imperf:pres:s:2:xp2

постелею постіль noun:inanim:f:v_oru
серць серце noun:p:v_rod

людини людина noun:p:v_naz/v_zna:anim
боголюдини боголюдина noun:p:v_naz/v_zna:anim
